序号,粤语,普通话,新拟粤语（广州音）拼音,场景,来源
44,半夜三更,习语。23时至凌晨1时，通常指深夜：～，吵咩啊［大半夜的吵什么］？又说“三更半夜”（640页）。,bun5ye6 saam1gaang1,四字组习语,现代粤语词典-1248
45,扮鬼扮马,习语。装神弄鬼：你唔好成日～嚟吓细路哥［你不要整天装神弄鬼来吓唬小孩］。,baan6gwai3baan6maa4,四字组习语,现代粤语词典-1249
46,榜上有名,习语。名字列在张贴出来的名单上，指中榜、被选上：今次佢终于～喇［这次他终于被选上了］。,bong3soeng6 yau4ming2,四字组习语,现代粤语词典-1250
47,包食包住,习语。管吃管住。,baau1sig9baau1zyu6,四字组习语,现代粤语词典-1251
48,包尾大翻,习语。传统粤剧的一些剧目临近尾声时出现的众演员出台表演翻跟头的热烈场面。形容场面精彩、热烈：过年好似～噉［过年热热闹闹的］。,baau1mei4 daai6faan1,四字组习语,现代粤语词典-1252
49,煲电话粥,习语。长时间打电话聊天：煲咗成个钟电话粥［打了足足一个小时电话］。,bou1 din6waa3zug7,四字组习语,现代粤语词典-1253
50,煲冇米粥,习语。煮无米的粥；做徒劳无功的事：佢次次都～，我先唔同佢合作［他每次都做些徒劳无功的事情，我才不跟他合作］。,bou1 mou4mai4zug7,四字组习语,现代粤语词典-1254
51,煲水新闻,习语。高大上的空洞新闻：～，有乜好睇吖［都是空洞新闻，有什么好看的］。,bou1soey3 san1man3,四字组习语,现代粤语词典-1255
52,宝刀未老,习语。年纪虽老但功夫或技艺并未减退：冇谂到十几年过去，你仲系～［没想到十几年过去了，你还是功夫不减当年］。,bou3dou1 mei6lou4,四字组习语,现代粤语词典-1256
53,暴冷暴热,习语。忽冷忽热。,bou6laang4bou6yid9,四字组习语,现代粤语词典-1257
54,杯弓蛇影,习语。比喻疑神疑鬼、妄自慌张。,bui1gung1se2ying3,四字组习语,现代粤语词典-1258
55,被铺蚊帐,习语。铺盖，床上用品的总称：换套新嘅～过年［换一套新铺盖好过年］。,pei4pou1 man1zoeng5,四字组习语,现代粤语词典-1259
56,本地状元,习语。麻风病人。,bun3dei6 zong6yun2,四字组习语,现代粤语词典-1260
57,本末倒置,习语。比喻把主要事物和次要事物或事物的主要方面和次要方面弄颠倒了：你考虑清楚先得，咪～［你要先考虑清楚，别不分主次了］。,bun3mud9 dou5zi5,四字组习语,现代粤语词典-1261
58,扁口扁面,习语。撇着嘴巴要哭的样子。又说“扁嘴扁舌”。,bin3hau3bin3min6,四字组习语,现代粤语词典-1262
59,扁嘴扁舌,习语。同“扁口扁面”。,bin3zoey3bin3sid9,四字组习语,现代粤语词典-1263
60,别有用心,习语。言论或行动中另有不可告人的企图：佢话同你介绍份工，系唔系～吖［他说给你介绍工作，是不是别有用心啊］｜话唔埋有啲人～呢［说不定有些人别有用心呢］。,bid9 yau4 yung6sam1,四字组习语,现代粤语词典-1264
