序号,粤语,普通话,新拟粤语（广州音）拼音,场景,来源
1869,爆血管,习语。受大刺激后的感受；够呛，令人头疼：个仔唔听话，畀佢激到我～咯［儿子不听话，气得我够呛］。,baau5hyud8gwun3,三字组习语,现代粤语词典-3073
1870,北冰洋,习语。世界四大洋之一，也是最小最浅以及最冷的大洋，大致以北极圈为中心，位于地球最北端。,bag7bing1yoeng2,三字组习语,现代粤语词典-3074
1871,北极熊,习语。哺乳动物，毛白色带黄，长而稠密。生活在北寒带，善于游泳。,bag7gig9hung2,三字组习语,现代粤语词典-3075
1872,北美洲,习语。世界七大洲之一，位于西半球北部，东临大西洋，西临太平洋。,bag7mei4zau1,三字组习语,现代粤语词典-3076
1873,背手影,习语。写字时背光：坐过嚟啦，度写字～［坐过来吧，那边写字背光］。,bui5 sau3ying3,三字组习语,现代粤语词典-3077
1874,笨屎虫,习语。屎壳郎；蜣螂。,ban6si3cung2,三字组习语,现代粤语词典-3078
1875,鼻哥窿,习语。鼻孔。,bei6go1lung1,三字组习语,现代粤语词典-3079
1876,鼻涕虫,习语。❶经常挂着鼻涕的小孩。➋幼稚无知的小孩：宁欺白须公，莫欺～［宁可轻视白胡子老人，不能小瞧幼稚孩童。比喻不可轻视新生力量］。➌比喻懦弱无能的人。➍蛞蝓，一种软体动物。,bei6tai5cung2,三字组习语,现代粤语词典-3080
1877,笔记本,习语。❶做笔记的本子。又说“笔记簿”。➋笔记本电脑：买部苹果～［买台苹果手提电脑］。又说“手提”（689页）。,bad7gei5bun3,三字组习语,现代粤语词典-3081
1878,笔记簿,习语。同“笔记本<sup>1</sup>”。,bad7gei5bou3,三字组习语,现代粤语词典-3082
1879,畀心机,习语。用心；下功夫：～读书［用心学习］｜～做嘢［下功夫干活］。,bei3sam1gei1,三字组习语,现代粤语词典-3083
1880,畀眼睇,习语。走着瞧；等着看：你～啦，我实做到［你等着瞧吧，我肯定能做到］。,bei3ngaan4tai3,三字组习语,现代粤语词典-3084
1881,弊家伙,习语。糟了；糟透了：～，冇带钱［糟糕，没带钱］！,bai6gaa1fo3,三字组习语,现代粤语词典-3085
1883,标冷汗,习语。出冷汗：痛到～［疼得冒冷汗］。,biu1laang4hon6,三字组习语,现代粤语词典-3087
1884,飙眼水,习语。流眼泪：笑到～［笑到流眼泪］。,biu1 aan4soey3,三字组习语,现代粤语词典-3088
1885,表错情,习语。因听错话、看错人或误解他人意思而作出的尴尬言行：人哋冇请你，嚟做乜吖，～喇［人家没请你，来做什么，表错情了］。又说“捉错用神”（973页）。,biu3co5cing2,三字组习语,现代粤语词典-3089
1886,兵马俑,习语。古代用来殉葬的兵马形象的陶俑：我上年去西安睇咗～［我去年去西安看了兵马俑］。,bing1maa4yung3,三字组习语,现代粤语词典-3090
1887,槟榔芋,习语。芋头的一种，味道较香，熟后松软。,ban1long2wu6,三字组习语,现代粤语词典-3091
1888,波板糖,习语。棒棒糖的一种：细路哥都钟意食～［小孩子都喜欢吃棒棒糖］。,bo1baan3tong3,三字组习语,现代粤语词典-3092
1889,波波池,习语。放有许多塑料小球、供小孩玩的围池。,bo1bo1ci2,三字组习语,现代粤语词典-3093
1890,钵钵车,习语。玩具汽车：部～几钱吖［那辆玩具汽车多少钱］？,bud7bud7ce1,三字组习语,现代粤语词典-3094
1891,钵仔糕,习语。一种广东小吃，用小钵蒸的米粉发糕，味甜，有芋头、红豆、马蹄等不同口味。,bud8zai3gou1,三字组习语,现代粤语词典-3095
1892,菠萝包,习语。一种港式点心，外形似菠萝。, bo1lo2baau1,三字组习语,现代粤语词典-3096
1893,菠萝盖,习语。膝盖骨。又说“膝头盖”（793页）。, bo1lo2goi3,三字组习语,现代粤语词典-3097
1894,菠萝油,习语。中间夹着牛油的菠萝包。,bo1lo2yau2,三字组习语,现代粤语词典-3098
1895,伯爷公,习语。老大爷；老头儿。,baag8ye1gung1,三字组习语,现代粤语词典-3099
1896,伯爷婆,习语。老大娘；老太婆。,baag8ye1po3,三字组习语,现代粤语词典-3100
1897,博士后,习语。获得博士学位后在高等院校或研究机构从事研究工作并继续深造的阶段。也指博士后研究人员。,bog8si6hau6,三字组习语,现代粤语词典-3101
1898,博物馆,习语。搜集、保管、研究、陈列、展览有关历史、文化等方面的文物或标本的机构：广东省～。,bog8mad9gwun3,三字组习语,现代粤语词典-3102
1899,搏出位,习语。为引起注意而故意做出一些与众不同的举动；哗众取宠：有啲人为咗～乜都做得出［有的人为了哗众取宠什么都做得出来］。又作“博出位”。,bog8coed7wai3,三字组习语,现代粤语词典-3103
1900,搏到尽,习语。拼尽全力：呢场比赛大家都～喇［这场比赛大家都全力以赴了］。,bog8dou5zoen6,三字组习语,现代粤语词典-3104
1901,薄切切,习语。很薄：张被～，唔抵冷［这床被太薄了，不耐寒］。又说“薄英英”。,bog9cid7cid7,三字组习语,现代粤语词典-3105
1902,薄英英,习语。同“薄切切”。,bog9ying1ying1,三字组习语,现代粤语词典-3106
1903,跛脚佬,习语。瘸子：佢大佬系～［他大哥是瘸子］。,bai1goeg8lou3,三字组习语,现代粤语词典-3107
1904,擘一字,习语。劈叉。,maag8yad7zi6,三字组习语,现代粤语词典-3108
1906,菢窦鸡,习语。菢窝鸡，正在孵蛋的母鸡。,bou6dau5gai1,三字组习语,现代粤语词典-3110
1907,不特止,习语。同“不特”。,bad7dag9zi3,三字组习语,现代粤语词典-3111
1908,布拉肠,习语。同“布拉肠粉”。,bou5laai1coeng3,三字组习语,现代粤语词典-3112
1909,擦纸胶,习语。同“擦胶”。,caad8zi3gaau1,三字组习语,现代粤语词典-3113
1910,猜呈寻,习语。用“石头剪刀布”口令定胜负的猜拳法：～赢咗就唔使洗碗［石头剪刀布赢了就不用洗碗］。,caai1cing2cam2,三字组习语,现代粤语词典-3114
1911,猜谜语,习语。猜测谜底：～有奖。,caai1 mai2yu4,三字组习语,现代粤语词典-3115
1912,财主佬,习语。有钱人。,coi2zyu3lou3,三字组习语,现代粤语词典-3116
1913,踩沉船,习语。用脚去踩快要沉的船，比喻落井下石、乘人之危：人哋有困难，就算唔帮都唔好～啦［人家有困难就算不帮忙也不要落井下石啊］！,caai3 cam2syun2,三字组习语,现代粤语词典-3117
1914,踩单车,习语。骑自行车：我～翻工［我骑自行车上班］。,caai3 daan1ce1,三字组习语,现代粤语词典-3118
1915,踩灯花,习语。指小偷在华灯初上时行窃：啲贼仔中意啱啱黑嘅时候嚟～［小偷喜欢在天刚黑的时候行窃］。,caai3dang1faa1,三字组习语,现代粤语词典-3119
1916,踩地盘,习语。侵犯他人领地或势力范围：呢度我话事，你唔好乱～吖［这里我说了算，你不要乱干涉］。,caai3 dei6pun2,三字组习语,现代粤语词典-3120
1917,踩死蚁,习语。走路或做事慢腾腾：手脚快啲喇，～噉［手脚快一点，慢腾腾的］。,caai3sei3ngai4,三字组习语,现代粤语词典-3121
1918,踩雪屐,习语。溜旱冰。又说“滑雪屐”（295页）。,caai3syud8keg9,三字组习语,现代粤语词典-3122
1919,餐头饭,习语。家常饭，便饭。,caan1tau2faan6,三字组习语,现代粤语词典-3123
1920,餐饮业,习语。饮食行业。,caan1yam3yib9,三字组习语,现代粤语词典-3124
1921,残鸡婆,习语。泼妇；悍妇。又说“枨鸡婆”（81页）。又读caan<sup>2</sup>gai<sup>1</sup>po<sup>3</sup>。,caan2gai1po2,三字组习语,现代粤语词典-3125
1922,仓底货,习语。积压的货物、商品。,cong1dai3fo5,三字组习语,现代粤语词典-3126
1923,操正步,习语。按制度规章办事。,cou1zing5bou6,三字组习语,现代粤语词典-3127
1924,嘈崩天,习语。同“嘈喧天”。,cou2bang1tin1,三字组习语,现代粤语词典-3128
1925,嘈嘈闭,习语。多指夫妻间吵吵闹闹：佢两个一见面就～［他俩一见面就吵吵闹闹］。,cou2cou2bai5,三字组习语,现代粤语词典-3129
1926,嘈生晒,习语。吵闹；吵个不停：你度～，人哋点做嘢吖［你在这里吵吵闹闹的，别人怎么干活］？,cou2saang1saai5,三字组习语,现代粤语词典-3130
1927,嘈喧天,习语。吵翻天；吵得不得了：出便就嚟～喇［外面都快吵翻天了］！又说“嘈崩天”。,cou2hyun1tin1,三字组习语,现代粤语词典-3131
1928,草花头,习语。汉字偏旁“艹”草字头儿。又读cou<sup>3</sup>faa<sup>1</sup>tau<sup>3</sup>。,cou3faa1tau2,三字组习语,现代粤语词典-3132
1929,茶竿竹,习语。❶竹子的一种，细长、硬实，多用作晾衣竹。➋比喻外表精瘦但很坚实的人。,caa2gon1zug7,三字组习语,现代粤语词典-3133
1930,蹅错脚,习语。走路时踏错了地方，比喻不小心犯了错误：后生仔冇经验，容易～［年轻人没有经验，容易犯错误］。,caa1co5goeg8,三字组习语,现代粤语词典-3134
1931,差唔多,习语。差不多：我同你～啫［我和你差不多而已］｜～够钟喇［时间差不多到了］。,caa1m2do1,三字组习语,现代粤语词典-3135
1932,差一皮,习语。差一点儿：同佢比你仲～㖞［跟他比你还差一点儿］。,caa1yad7pei3,三字组习语,现代粤语词典-3136
1933,柴哇哇,习语。❶随便；马虎：～又一日真可惜［随随便便又过了一天，真可惜］。➋闹着玩：～之嘛，唔使当真嘅［闹着玩罢了，不用当真］。➌热热闹闹：一个人太冷清喇，～噉至好［一个人太冷清了，人多热热闹闹的才好］。,caai2waa1waa1,三字组习语,现代粤语词典-3137
1934,禅城区,习语。佛山市政府所在地。,sim2sing2 koey1,三字组习语,现代粤语词典-3138
1935,缠脚娘,习语。小脚女人；缠脚女人。,zin6goeg8noeng1,三字组习语,现代粤语词典-3139
1936,潺湀湀,习语。黏滑的样子：条黄鳝～［这条黄鳝又黏又滑］｜地板～。,saan2gwe6gwe6,三字组习语,现代粤语词典-3140
1937,铲地皮,习语。指旧社会贪官污吏刮削民财。,caan3 dei6pei2,三字组习语,现代粤语词典-3141
1938,铲光头,习语。用推剪理光头。,caan3 gwong1tau1,三字组习语,现代粤语词典-3142
1939,长脚蜢,习语。比喻腿长的人（诙谐说法）。又读coeng<sup>2</sup> goeg<sup>8</sup> maang<sup>3</sup>。,coeng2goeg8maang1,三字组习语,现代粤语词典-3143
1940,长颈鹿,习语。哺乳动物，颈很长，不会发声，身上有花斑。生活在非洲，是陆地上身高最高的动物。,coeng2geng3lug3,三字组习语,现代粤语词典-3144
1941,长颈罂,习语。一种长颈容器，比喻胃大能吃：啲嘢早就入晒佢嘅～咯［那些东西早就装到他的肚子里去了］。,coeng2geng3aang1,三字组习语,现代粤语词典-3145
1942,长赖吷,习语。长长的：件衫～，好肉酸［这件衣服长长的，很难看］。,coeng2laai2kwaai2,三字组习语,现代粤语词典-3146
1943,长赖赖,习语。长长的；长得有点过分：你条裙～，因住仆亲［你的裙子那么长，小心摔倒］。,coeng2laai2laai2,三字组习语,现代粤语词典-3147
1944,长流流,习语。同“流流长”（459页）。,coeng2lau2lau2,三字组习语,现代粤语词典-3148
1945,长命雨,习语。持续时间很长的雨；梅雨。,coeng2meng6yu4,三字组习语,现代粤语词典-3149
1946,长气袋,习语。❶说话没完没了的人：成个～噉，讲咗成个钟都唔停［真是够啰嗦的，讲了一个小时还没停下来］。➋善于长跑或长时间运动的人：佢真系～，跑一万米都湿湿碎［他真有力气，跑一万米都是小意思］。又读coeng<sup>2</sup>hei<sup>5</sup>doi<sup>3</sup>。,coeng2hei5doi6,三字组习语,现代粤语词典-3150
1947,长气鬼,习语。形容特别唠叨的人。,coeng2hei5gwai3,三字组习语,现代粤语词典-3151
1948,长气婆,习语。专指特别絮叨的女性。,coeng2hei5po3,三字组习语,现代粤语词典-3152
1949,长生板,习语。棺材，委婉说法。,coeng2sang1baan3,三字组习语,现代粤语词典-3153
1950,肠热症,习语。伤寒。,coeng2yid9zing5,三字组习语,现代粤语词典-3154
1951,敞篷车,习语。没有篷子的车：坐～兜风。,cong3pung2ce1,三字组习语,现代粤语词典-3155
1952,超声波,习语。频率高于2万赫兹的声波，方向性好、穿透力强，可用于多个领域。,ciu1sing1bo1,三字组习语,现代粤语词典-3156
1955,潮流兴,习语。时尚流行：依家～呢种发型吖［现在流行这种发型］。,ciu2lau2hing1,三字组习语,现代粤语词典-3159
1956,炒冷饭,习语。❶回锅翻炒剩饭。➋自我重复，没有新意。,caau3laang4faan6,三字组习语,现代粤语词典-3160
1957,炒米饼,习语。广东特色小吃，主要成分是大米和糖。,caau3mai4beng3,三字组习语,现代粤语词典-3161
1958,炒鱿鱼,习语。解雇：做嘢唔勤力就～［做事不得力就解雇］｜炒佢鱿鱼［解雇他］。,caau3yau2yu3,三字组习语,现代粤语词典-3162
1959,车大炮,习语。吹牛，说大话：～咩，我唔信［吹牛皮，我不信］｜净系识～，做嘢又唔见咁叻［就会说大话，做事又不见这么厉害］！,ce1 daai6paau5,三字组习语,现代粤语词典-3163
1960,扯鼻鼾,习语。打呼噜。又说“打鼻鼾”（113页）。,ce3 bei6hon2,三字组习语,现代粤语词典-3164
1961,扯大缆,习语。拔河。,ce3 daai6laam6,三字组习语,现代粤语词典-3165
1962,扯猫尾,习语。比喻串通起来蒙骗别人：你两个系唔系～吖［你们俩是不是串通好的］？又说“掹猫尾”（528页）。,ce3maau1mei4,三字组习语,现代粤语词典-3166
1963,陈家祠,习语。富有广东特色的艺术建筑群。位于广州市中山七路，又称陈氏书院。,can2gaa1ci2,三字组习语,现代粤语词典-3167
1964,趁地腍,习语。〈禁〉趁着地松软挖坑埋人。骂人快点死。,can5dei6nam2,三字组习语,现代粤语词典-3168
1965,撑台脚,习语。亲昵地面对面坐着吃饭：两公婆日日都去间饭店～［两口子每天都去那家饭店吃饭］｜系唔系挂住翻去同个老婆～吖［是不是念着回去跟老婆吃饭］？,caang5toi3goeg8,三字组习语,现代粤语词典-3169
1966,撑艇仔,习语。同“撑船”。,caang1teng4zai3,三字组习语,现代粤语词典-3170
1967,撑牙骹,习语。嘴硬；顶嘴。,caang1ngaa2gaau5,三字组习语,现代粤语词典-3171
1968,成身蚁,习语。口舌是非；麻烦事；一身臊。,sing2san1ngai4,三字组习语,现代粤语词典-3172
1969,成世人,习语。同“成世”。又读seng<sup>2</sup>sai<sup>5</sup>yan<sup>2</sup>。,sing2sai5yan2,三字组习语,现代粤语词典-3173
1970,成朝早,习语。同“成朝”。,sing2ziu1zou3,三字组习语,现代粤语词典-3174
1971,枨鸡婆,习语。同“残鸡婆”（60页）。又读caang<sup>2</sup>gai<sup>1</sup>po<sup>3</sup>。,caang2gai1po2,三字组习语,现代粤语词典-3175
1972,城中村,习语。城市化进程中，乡村耕地被征用，农民转为居民后仍在原村址居住而形成的居民区：石牌村、冼村都系广州嘅～［石牌、冼村都是广州的城中村］。,sing2zung1cyun1,三字组习语,现代粤语词典-3176
1973,匙羹白,习语。白菜的一种，柄白色，形状像调羹，叶深绿色。,ci2gang1baag9,三字组习语,现代粤语词典-3177
1974,豉油鸡,习语。粤菜的一种菜品，将宰好的整鸡放清水加豉油等调味香料，煮熟后捞出切块食用：～点整吖［豉油鸡怎么做的］？,si6yau2gai1,三字组习语,现代粤语词典-3178
1975,赤坎区,习语。湛江市政府所在地。,ceg8haam3 koey1,三字组习语,现代粤语词典-3179
1976,赤眼鳟,习语。一种淡水鳟鱼，身体前部圆筒形，后部侧扁，银白色，眼上缘红色。,ceg8ngaan4zyun1,三字组习语,现代粤语词典-3180
1977,冲红灯,习语。闯红灯：～好危险。,cung1 hung2dang1,三字组习语,现代粤语词典-3181
1978,冲凉房,习语。洗澡间；洗澡房：新屋间～有啲细［新房子的洗澡间有点儿小］。,cung1loeng2fong3,三字组习语,现代粤语词典-3182
1979,舂米公,习语。一种昆虫，黑色，形状像细腰蜂，尾部不停地上下摇动。,zung1mai4gung1,三字组习语,现代粤语词典-3183
1980,舂瘟鸡,习语。❶走路不稳，像瘟鸡一样跌跌撞撞：饮咗几啖酒，行起路嚟～噉［喝了几口酒，走起路来跌跌撞撞］。➋做事盲目；不稳重：你做嘢～噉点得吖［你做事那么盲目怎么行啊］。,zung1wan1gai1,三字组习语,现代粤语词典-3184
1981,抽后脚,习语。抓住把柄：因住畀人～［当心让人家抓住把柄］｜佢最中意抽人后脚［他最爱抓人把柄］。又说“抽痛脚”。,cau1hau6goeg8,三字组习语,现代粤语词典-3185
1982,抽痛脚,习语。同“抽后脚”。,cau1tung5goeg8,三字组习语,现代粤语词典-3186
1983,丑死怪,习语。同“丑怪<sup>2</sup>”。,cau3sei3gwaai5,三字组习语,现代粤语词典-3187
1984,臭崩崩,习语。臭烘烘：厕所～。又说“臭亨亨”。,cau5bang1bang1,三字组习语,现代粤语词典-3188
1985,臭崩天,习语。味道极臭。,cau5bang1tin1,三字组习语,现代粤语词典-3189
1986,臭亨亨,习语。同“臭崩崩”。,cau5hang1hang1,三字组习语,现代粤语词典-3190
1987,臭屁蝲,习语。椿象，一种昆虫。又说“椿象”（100页）。,cau5pei5laad8,三字组习语,现代粤语词典-3191
1988,出把戏,习语。玩戏法；变魔术。,coed7baa3hei5,三字组习语,现代粤语词典-3192
1989,出公数,习语。记在公家的账上；公家报销。,coed7gung1sou5,三字组习语,现代粤语词典-3193
1990,出蛊惑,习语。耍滑头；搞恶作剧。,coed7gu3waag9,三字组习语,现代粤语词典-3194
1991,出广州,习语。去广州。,coed7Gwong3zau1,三字组习语,现代粤语词典-3195
1992,出老千,习语。打牌、赌博时耍骗术；骗人的行为。又说“出千”“出术”。,coed7 lou4cin1,三字组习语,现代粤语词典-3196
1993,出猫仔,习语。同“出猫”。,coed7maau1zai3,三字组习语,现代粤语词典-3197
1994,出猫纸,习语。小抄。,coed7maau1zi3,三字组习语,现代粤语词典-3198
1995,出入口,习语。进出口：～生意［进出口贸易］｜呢排～生意难做咯［这阵子进出口贸易难做了］。,coed7yab9hau3,三字组习语,现代粤语词典-3199
1996,出水纸,习语。出货单。,coed7soey3zi3,三字组习语,现代粤语词典-3200
1997,穿心边,习语。汉字偏旁“忄”。又说“竖心边”（ 697页）、“企心边”（596页）。,cyun1sam1bin1,三字组习语,现代粤语词典-3201
1998,传家宝,习语。家族世代相传的宝贵物品：呢个系我嘅～［这是我的传家宝］。,cyun2gaa1bou3,三字组习语,现代粤语词典-3202
1999,创口贴,习语。创可贴。,cong5hau3tib8,三字组习语,现代粤语词典-3203
2000,床头柜,习语。放在床头一边的柜子：摆～度［放在床头柜那里］。,cong2tau2gwai6,三字组习语,现代粤语词典-3204
2001,床下底,习语。同“床底”。,cong2haa6dai3,三字组习语,现代粤语词典-3205
2002,闯红灯,习语。在红灯时通行，是一种交通违法行为。见“冲红灯”（86页）。,cong3 hung2dang1,三字组习语,现代粤语词典-3206
2003,创纪录,习语。打破纪录：佢今次比赛又～喇［他在这次比赛中又打破纪录了］。,cong5 gei3lug9,三字组习语,现代粤语词典-3207
2004,吹打佬,习语。民间的器乐吹奏者：呢个～好犀利［这个吹奏的人很厉害］。,coey1daa3lou3 ,三字组习语,现代粤语词典-3208
2005,吹风机,习语。由电热丝和小风扇组成的用于吹干头发的装置。见“风筒”（205页）。,coey1fung3gei1,三字组习语,现代粤语词典-3209
2006,吹唔胀,习语。奈何不了，无可奈何：呢件事你吹佢唔胀吖［这件事你奈何不了他］。,coey1m2zoeng5,三字组习语,现代粤语词典-3210
2008,啋过你,习语。呸。表示强烈制止、斥责：～，大吉利是。,coi1gwo5nei4,三字组习语,现代粤语词典-3212
2009,从化区,习语。广州城区之一。,cung2faa5 koey1,三字组习语,现代粤语词典-3213
2010,凑台脚,习语。同“凑脚”。,cau5toi3goeg8,三字组习语,现代粤语词典-3214
2011,凑仔婆,习语。专门看管小孩的妇女。,cau5zai3po3,三字组习语,现代粤语词典-3215
2012,粗重工,习语。❶重体力劳动：呢啲～等我嚟［这些体力活等我来］。➋花气力的家务。〓又说“粗重嘢”。,cou1cung4gung1,三字组习语,现代粤语词典-3216
2013,粗重嘢,习语。同“粗重工”。,cou1cung4ye4,三字组习语,现代粤语词典-3217
2014,催化剂,习语。能改变化学反应速率，而本身的量和化学性质并不改变的物质。,coey1faa5zai1,三字组习语,现代粤语词典-3218
2015,耷头鸡,习语。垂下头的鸡，比喻软弱受欺的人。,dab7tau2gai1,三字组习语,现代粤语词典-3219
2016,耷头佬,习语。诡计多端的人；出鬼点子而不露声色的人：咪睇佢唔声唔声，系个～嚟嘅［别看他不动声色，其实是个诡计多端的人］。   ,dab7tau2lou3,三字组习语,现代粤语词典-3220
2017,耷尾狗,习语。垂着尾巴的狗，比喻失败者、泄气的人。,dab7mei4gau3,三字组习语,现代粤语词典-3221
2018,搭沉船,习语。上了哪条船，哪条船就沉没。比喻丧门星、害群之马：呢个衰神系～嚟嘅，边个都怕晒佢［这家伙是个丧门星，谁都怕他］。,daab8 cam2syun2,三字组习语,现代粤语词典-3222
2019,搭错线,习语。❶打电话串线，拨错号码。➋误解；因误解而说错话：唔系噉啊，你～喇［不是这样的，你听错了］。,daab8co5 sin5,三字组习语,现代粤语词典-3223
2020,搭地铁,习语。乘坐地铁。,daab8 dei6tid8,三字组习语,现代粤语词典-3224
2021,搭公车,习语。乘坐公交车。,daab8 gung1ce1,三字组习语,现代粤语词典-3225
2022,嗒嗒声,习语。吃东西咂咂有声，津津有味：食到～～声［吃得津津有味］。,daab7daab7seng1,三字组习语,现代粤语词典-3226
2023,打靶鬼,习语。〈禁〉枪毙鬼。,daa3baa3gwai3,三字组习语,现代粤语词典-3227
2024,打靶佬,习语。〈禁〉混账；混蛋。,daa3baa3lou3,三字组习语,现代粤语词典-3228
2025,打靶仔,习语。〈禁〉混蛋。,daa3baa3zai3,三字组习语,现代粤语词典-3229
2026,打包单,习语。打包票。,daa3baau1daan1,三字组习语,现代粤语词典-3230
2027,打包踭,习语。用胳膊肘撞人：你咁衰，～［你真坏，用胳膊撞人］。,daa3baau1zaang1,三字组习语,现代粤语词典-3231
2028,打饱嗝,习语。同“打思噎”。,daa3baau3gaag8,三字组习语,现代粤语词典-3232
2029,打鼻鼾,习语。同“扯鼻鼾”（77页）。,daa3bei6hon2,三字组习语,现代粤语词典-3233
2030,打边炉,习语。打火锅：冬天点可以少得～［冬天怎么能少得了吃火锅］。,daa3bin1lou2,三字组习语,现代粤语词典-3234
2031,打卜成,习语。〈外〉打西洋拳。“卜成”是英语boxing的音译词：我好中意～［我很喜欢打西洋拳］。,daa3bog7sing3,三字组习语,现代粤语词典-3235
2032,打赤脚,习语。光脚丫：翻到屋企佢就中意～［回到家他就喜欢光着脚］。,daa3 ceg8goeg8,三字组习语,现代粤语词典-3236
2033,打赤肋,习语。打赤膊：热到大家～［热得大家打赤膊］。又说“打大赤肋”。,daa3ceg8laag9,三字组习语,现代粤语词典-3237
2034,打大翻,习语。两手按地或腾空翻筋斗：佢～好犀利［他翻跟头很厉害的］。,daa3 daai6faan1,三字组习语,现代粤语词典-3238
2035,打大交,习语。激烈地斗殴：班友仔～畀人捉咗［那帮流氓打架被人抓起来了］。,daa3 daai6gaau1,三字组习语,现代粤语词典-3239
2036,打单帮,习语。自个儿；独自一人。,daa3 daan6bong1,三字组习语,现代粤语词典-3240
2037,打倒掟,习语。身体倒立；物体倒置：～噉放［倒过来放］。,daa3dou5deng5,三字组习语,现代粤语词典-3241
2038,打倒褪,习语。倒退、后退：踩实脚刹，唔好～［踩好制动，不要倒退］。,daa3dou5tan5,三字组习语,现代粤语词典-3242
2039,打得埋,习语。合得来；相处一起。,daa3dag7maai2,三字组习语,现代粤语词典-3243
2040,打得少,习语。欠揍（用于警告犯错的人）：你系唔系～吖［你是不是欠揍啊］！,daa3dag7siu3,三字组习语,现代粤语词典-3244
2041,打地铺,习语。在地上放铺盖睡觉：今晚委屈一下，～算喇。,daa3 dei6pou1,三字组习语,现代粤语词典-3245
2042,打地气,习语。受地上的湿气侵蚀：唔好地，～吖［别睡在地上，潮湿］。,daa3dei6hei5,三字组习语,现代粤语词典-3246
2043,打定螺,习语。抽陀螺。,daa3ding6lo3,三字组习语,现代粤语词典-3247
2044,打饭炮,习语。错过就餐时间：六点钟前仲唔翻就要～咯［六点前还不回来就要错过吃饭时间了］。,daa3faan6paau5,三字组习语,现代粤语词典-3248
2045,打风旧,习语。刮台风。,daa3fung1gau6,三字组习语,现代粤语词典-3249
2046,打斧头,习语。代人购物或办事时虚报价款以从中占小便宜：畀佢做唔会～嘅［让他做，不会占小便宜的］。,daa3fu3tau2,三字组习语,现代粤语词典-3250
2047,打更佬,习语。以往指巡夜打锣的更夫：依家仲边有～啊［现在还哪有打更的人］。,daa3gaang1lou3,三字组习语,现代粤语词典-3251
2048,打工仔,习语。打工的年轻男子：依家城市越嚟越多～［现在来城市打工的人越来越多］。,daa3gung1zai3,三字组习语,现代粤语词典-3252
2049,打功夫,习语。练武术：好多老人家公园～［很多老人在公园打拳］。见“耍功夫”（699页）。,daa3gung1fu1,三字组习语,现代粤语词典-3253
2050,打鼓边,习语。敲边鼓，在旁边帮腔助势。又说“敲鼓边”（606页）。,daa3gu3 bin1,三字组习语,现代粤语词典-3254
2051,打关斗,习语。翻跟头；翻筋斗：你识唔识～［你会翻跟头吗］？,daa3 gwaan1dau3,三字组习语,现代粤语词典-3255
2052,打喊路,习语。打哈欠：攰到～［累得打哈欠］。,daa3 haam5lou6,三字组习语,现代粤语词典-3256
2053,打荷包,习语。偷人身上的钱包：被人～添［被小偷偷钱了］。,daa3 ho2baau1,三字组习语,现代粤语词典-3257
2054,打黑摸,习语。摸黑；摸夜。,daa3 hag7mo1,三字组习语,现代粤语词典-3258
2055,打横嚟,习语。❶横行霸道：唔睇实佢，佢就～［不看紧他，他就横行霸道］！➋蛮不讲理：你都～嘅［你蛮不讲理］。,daa3waang2lai2,三字组习语,现代粤语词典-3259
2056,打坏种,习语。同“打坏”。,daa3waai6zung3,三字组习语,现代粤语词典-3260
2057,打交叉,习语。打叉，表示错误或不同意。,daa3gaau1caa1,三字组习语,现代粤语词典-3261
2058,打脚绑,习语。打绑腿，缠裹脚。,daa3 goeg8bong3,三字组习语,现代粤语词典-3262
2059,打脚骨,习语。同“脚骨”（177页）。,daa3 goeg8gwad7,三字组习语,现代粤语词典-3263
2060,打冷震,习语。打寒颤；发抖：冻到我～［冷得我直打哆嗦］。,daa3laang4zan5,三字组习语,现代粤语词典-3264
2061,打麻雀,习语。打麻将：得闲～吖［有空打麻将吧］。,daa3maa2zoeg3,三字组习语,现代粤语词典-3265
2062,打矛波,习语。用不正当的手段打球赛。“波”是英语ball的音译词：佢～畀人罚落场［他打球手段不正当，被罚下场了］。,daa3maau2bo1,三字组习语,现代粤语词典-3266
2063,打平手,习语。打成平局，不输不赢。,daa3ping2sau3,三字组习语,现代粤语词典-3267
2064,打乞嗤,习语。打喷嚏：打咗成日乞嗤［打了一天的喷嚏］。,daa3had7ci1,三字组习语,现代粤语词典-3268
2067,打输数,习语。做好失败或亏本的准备。,daa3syu1sou5,三字组习语,现代粤语词典-3271
2068,打水片,习语。往水表面扔瓦片或石片，让它擦着水面飞去。又说“打水撇”。,daa3soey3pin3,三字组习语,现代粤语词典-3272
2069,打水撇,习语。同“打水片”。,daa3soey3pid8,三字组习语,现代粤语词典-3273
2070,打思噎,习语。打嗝儿。又说“打饱嗝”“打噎”。,daa3si1yig7,三字组习语,现代粤语词典-3274
2072,打通关,习语。打败全部对手，一路闯关。,daa3 tung2gwaan1,三字组习语,现代粤语词典-3276
2073,打同通,习语。串通；串谋：你哋～嚟呃我［你们串通一气来骗我］。,daa3tung1tung1,三字组习语,现代粤语词典-3277
2074,打头锣,习语。演戏的开场锣鼓，比喻带头、开头：你嚟～啦［你来开个头吧］。又说“打头阵”。,daa3tau2lo2,三字组习语,现代粤语词典-3278
2075,打头阵,习语。同“打头锣”。,daa3tau2zan6,三字组习语,现代粤语词典-3279
2076,打雾水,习语。同“打雾”。,daa3mou6soey3,三字组习语,现代粤语词典-3280
