object,url
粤语中的饮茶文化.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E4%B8%AD%E7%9A%84%E9%A5%AE%E8%8C%B6%E6%96%87%E5%8C%96.txt
粤语地道形容词叠词.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E5%9C%B0%E9%81%93%E5%BD%A2%E5%AE%B9%E8%AF%8D%E5%8F%A0%E8%AF%8D.mp4
粤语地道形容词叠词.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E5%9C%B0%E9%81%93%E5%BD%A2%E5%AE%B9%E8%AF%8D%E5%8F%A0%E8%AF%8D.txt
粤语小典故（一物治一物、啊茂整饼、十三点、倒米）.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E4%B8%80%E7%89%A9%E6%B2%BB%E4%B8%80%E7%89%A9%E3%80%81%E5%95%8A%E8%8C%82%E6%95%B4%E9%A5%BC%E3%80%81%E5%8D%81%E4%B8%89%E7%82%B9%E3%80%81%E5%80%92%E7%B1%B3%EF%BC%89.mp4
粤语小典故（一物治一物、啊茂整饼、十三点、倒米）.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E5%B0%8F%E5%85%B8%E6%95%85%EF%BC%88%E4%B8%80%E7%89%A9%E6%B2%BB%E4%B8%80%E7%89%A9%E3%80%81%E5%95%8A%E8%8C%82%E6%95%B4%E9%A5%BC%E3%80%81%E5%8D%81%E4%B8%89%E7%82%B9%E3%80%81%E5%80%92%E7%B1%B3%EF%BC%89.txt
粤语形容味道的叠词.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E5%BD%A2%E5%AE%B9%E5%91%B3%E9%81%93%E7%9A%84%E5%8F%A0%E8%AF%8D.mp4
粤语形容味道的叠词.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E5%BD%A2%E5%AE%B9%E5%91%B3%E9%81%93%E7%9A%84%E5%8F%A0%E8%AF%8D.txt
粤语描述动作叠词.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E6%8F%8F%E8%BF%B0%E5%8A%A8%E4%BD%9C%E5%8F%A0%E8%AF%8D.mp4
粤语描述动作叠词.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E6%8F%8F%E8%BF%B0%E5%8A%A8%E4%BD%9C%E5%8F%A0%E8%AF%8D.txt
粤语描述心情和态度的叠词.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E6%8F%8F%E8%BF%B0%E5%BF%83%E6%83%85%E5%92%8C%E6%80%81%E5%BA%A6%E7%9A%84%E5%8F%A0%E8%AF%8D.mp4
粤语描述心情和态度的叠词.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E6%8F%8F%E8%BF%B0%E5%BF%83%E6%83%85%E5%92%8C%E6%80%81%E5%BA%A6%E7%9A%84%E5%8F%A0%E8%AF%8D.txt
粤语描述性格状态的叠词.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E6%8F%8F%E8%BF%B0%E6%80%A7%E6%A0%BC%E7%8A%B6%E6%80%81%E7%9A%84%E5%8F%A0%E8%AF%8D.mp4
粤语描述性格状态的叠词.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E6%8F%8F%E8%BF%B0%E6%80%A7%E6%A0%BC%E7%8A%B6%E6%80%81%E7%9A%84%E5%8F%A0%E8%AF%8D.txt
粤语描述颜色的叠词.mp4,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E6%8F%8F%E8%BF%B0%E9%A2%9C%E8%89%B2%E7%9A%84%E5%8F%A0%E8%AF%8D.mp4
粤语描述颜色的叠词.txt,https://jinan-university-cantonese-shuowenjiezi.oss-cn-guangzhou.aliyuncs.com/%E7%B2%A4%E8%AF%AD%E6%8F%8F%E8%BF%B0%E9%A2%9C%E8%89%B2%E7%9A%84%E5%8F%A0%E8%AF%8D.txt
